id_cenario,resposta_agente
dentista_001_lead_quente_preco,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_002_agendar_hoje,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_003_convenio,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_004_objecao_caro,"Temos horários hoje à tarde e noite. Qual seu nome, procedimento desejado e se usa convênio?"
dentista_005_vou_pensar,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_006_manda_whats,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_007_fora_horario,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_008_urgencia_dor,Sinto muito. Vou te encaminhar para atendente humano agora. Qual seu nome e melhor telefone?
dentista_009_pedido_humano,Sinto muito. Vou te encaminhar para atendente humano agora. Qual seu nome e melhor telefone?
dentista_010_msg_curta_oi,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_011_audio_sem_transcricao,"Posso te ajudar com agendamento. Qual seu nome, procedimento e melhor horário?"
dentista_012_duplicado_lead,"Temos horários hoje à tarde e noite. Qual seu nome, procedimento desejado e se usa convênio?"
