id,nicho,suite,score_total,flags,expected,observed,recommendations
dentista_001_lead_quente_preco,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_002_agendar_hoje,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_003_convenio,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_004_objecao_caro,dentista,smoke,95,faltou_qualificacao:urgencia,coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=True, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_005_vou_pensar,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_006_manda_whats,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_007_fora_horario,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_008_urgencia_dor,dentista,smoke,68,"faltou_qualificacao:procedimento,urgencia,convenio,horario|sem_cta",coleta_dados+cta+compliance,"nome=True, procedimento=False, urgencia=False, convenio=False, horario=False, cta=False","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário.|Adicionar CTA claro de agendamento com opções de horário."
dentista_009_pedido_humano,dentista,smoke,68,"faltou_qualificacao:procedimento,urgencia,convenio,horario|sem_cta",coleta_dados+cta+compliance,"nome=True, procedimento=False, urgencia=False, convenio=False, horario=False, cta=False","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário.|Adicionar CTA claro de agendamento com opções de horário."
dentista_010_msg_curta_oi,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_011_audio_sem_transcricao,dentista,smoke,90,"faltou_qualificacao:urgencia,convenio",coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=False, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
dentista_012_duplicado_lead,dentista,smoke,95,faltou_qualificacao:urgencia,coleta_dados+cta+compliance,"nome=True, procedimento=True, urgencia=False, convenio=True, horario=True, cta=True","Coletar dados mínimos: nome, procedimento, urgência, convênio e horário."
